epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,19014.4,0.74071,0.64019,1.24378,0.54523,0.46097,0.47614,0.31886,1.23342,1.78827,1.88433,0.000184055,0.000184055,0.000184055
90,19245.7,0.75407,0.66539,1.25841,0.50121,0.44304,0.45245,0.29393,1.21724,1.78213,1.86106,0.000169908,0.000169908,0.000169908
91,19480.7,0.63374,0.56543,1.23585,0.47476,0.5131,0.41902,0.27087,1.23886,1.90465,1.9081,0.000155761,0.000155761,0.000155761
92,19714.3,0.61084,0.50856,1.22356,0.53062,0.50801,0.48397,0.31551,1.23584,1.71563,1.88704,0.000141614,0.000141614,0.000141614
93,19947.1,0.57758,0.48762,1.17592,0.50528,0.45761,0.43595,0.28615,1.23896,1.88367,1.90351,0.000127467,0.000127467,0.000127467
94,20176.7,0.57833,0.48358,1.20712,0.46848,0.48033,0.42113,0.27355,1.22361,1.97295,1.86114,0.00011332,0.00011332,0.00011332
95,20409,0.56647,0.44205,1.1646,0.49994,0.45888,0.43312,0.28286,1.21893,1.94218,1.86336,9.91726e-05,9.91726e-05,9.91726e-05
96,20642.8,0.5766,0.46199,1.18776,0.47716,0.52489,0.45186,0.29777,1.22747,1.85906,1.879,8.50255e-05,8.50255e-05,8.50255e-05
97,20879.9,0.56024,0.44892,1.17113,0.55786,0.45656,0.47945,0.32215,1.20965,1.8006,1.86422,7.08784e-05,7.08784e-05,7.08784e-05
98,21104.8,0.55092,0.43807,1.16636,0.5549,0.46542,0.48641,0.33367,1.19846,1.80324,1.8536,5.67313e-05,5.67313e-05,5.67313e-05
99,21377.4,0.54686,0.42908,1.17,0.51313,0.44518,0.4682,0.31821,1.20057,1.8624,1.84994,4.25842e-05,4.25842e-05,4.25842e-05
100,21633.2,0.5389,0.43085,1.16478,0.47116,0.46294,0.44696,0.30275,1.21156,1.90794,1.86309,2.84371e-05,2.84371e-05,2.84371e-05
